Rank 	Team 	Won 	Lost 	Tied 	Pct. 	First NFL Season 	Total Games 	Division
1 	Dallas Cowboys 	493 	367 	6 	.573 	1960 	866 	NFC East
2 	Green Bay Packers 	730 	553 	37 	.567 	1921 	1,320 	NFC North
3 	Chicago Bears 	744 	568 	42 	.565 	1920 	1,354 	NFC North
4 	Miami Dolphins 	439 	341 	4 	.563 	1966 	784 	AFC East
5 	New England Patriots 	476 	383 	9 	.554 	1960 	868 	AFC East
6 	New York Giants 	684 	572 	33 	.543 	1925 	1,289 	NFC East
7 	Denver Broncos 	465 	393 	10 	.541 	1960 	868 	AFC West
8 	Minnesota Vikings 	457 	387 	10 	.541 	1961 	854 	NFC North
9 	Baltimore Ravens 	181 	154 	1 	.540 	1996 	336 	AFC North
10 	San Francisco 49ers 	522 	450 	14 	.537 	1950 	986 	NFC West
11 	Indianapolis Colts 	502 	441 	7 	.532 	1953 	950 	AFC South
12 	Oakland Raiders 	456 	401 	11 	.532 	1960 	868 	AFC West
13 	Pittsburgh Steelers 	601 	535 	20 	.529 	1933 	1,156 	AFC North
14 	Kansas City Chiefs 	447 	409 	12 	.522 	1960 	868 	AFC West
15 	Washington Redskins 	586 	572 	28 	.506 	1932 	1,186 	NFC East
16 	Seattle Seahawks 	325 	318 	1 	.505 	1976 	644 	NFC West
17 	Cleveland Browns 	462 	466 	10 	.498 	1950 	938 	AFC North
18 	San Diego Chargers 	426 	431 	11 	.497 	1960 	868 	AFC West